src_dir,out_fn,mmpub_key,title
tmm_qoe_crowdsourcing,qoe_crowdsourcing_framework,wu13_crowdsourcing,Crowdsourcing Multimedia QoE Evaluation: A Trusted Framework
scnc11,stepping_stone_detection,lin11_stepping_stone,Stepping Stone Detection at The Server Side
ieee_tciaig_bot_trajectory,bot_detection_trajectory,pao10_trajectory,Game Bot Detection via Avatar Trajectory Analysis
mtap_mmo,tcp_mmorpg,wu09_game_protocol,On the Challenge and Design of Transport Protocols for MMORPGs
ccnc09,collusion_detection,lou09_collusion,A Collusion-Resistant Automation Scheme for Social Moderation Systems
hcomp09_kkb,kisskissban,ho09_kkb,KissKissBan: a competitive human computation game for image annotation
hcomp09_model,social_verification_model,ho09_model,On formal models for social verification
infocom09_skype,skype_redundancy_control,huang09_skype,Tuning the Redundancy Control Algorithm of Skype for User Satisfaction
ieice_trans_comm_session_time,user_satisfaction_quantification,huang08_sat,A Generalizable Methodology for Quantifying User Satisfaction
netgames08_wow,wow_player_game_hours,tarng08_wow,An Analysis of WoW Players Game Hours##An Analysis of WoW Players' Game Hours
cqr10_pc_game,pc_game_qoe,chang11_thin_gaming,Understanding The Performance of Thin-Client Gaming
ieee_tpds_departure,player_departure_analysis,chen09_qoe,Effect of network quality on player departure behavior in online games
www13,gender_swapping_in_games,lou13_gender_swapping,Gender Swapping and User Behaviors in Online Social Games
tomm14_ga,gaming_anywhere_open_source_system,huang14_gaminganywhere,GamingAnywhere: The First Open Source Cloud Gaming System
netgames13_mobile_game_classification,mobile_game_recommendation_using_gestures,yang13_game_recommendation,Mobile Game Recommendation using Touch Gestures
netgames13_lag,source_of_lags_in_games,chen13_lag,Dude the Source of Lags Is on Your Computer
mm13_ga,gaming_anywhere_open_source,huang13_ga_oss,GamingAnywhere: An Open-Source Cloud Gaming Testbed
hcomp13_ocr,boosting_ocr_accuracy,wang13_crowdsourcing_ocr,Boosting OCR Accuracy Using Crowdsourcing
hcomp13_recruiting,understanding_potential_workers,wang13_crowdsourcing_potentials,Understanding Potential Microtask Workers for Paid Crowdsourcing
socialcom14,fairness_on_kiva_microloaning_platform,lee14_microfinance,Fairness-Aware Loan Recommendation for Microfinance Services
movid14,user_satisfaction_in_mobile_cloud_gaming,huang14_cloud_gaming_qoe,Quantifying User Satisfaction in Mobile Cloud Games
tmm_cloud_gaming_qos,qos_cloud_gaming_systems,chen14_cloud_gaming_qos,On The Quality of Service of Cloud Gaming Systems
cgame14,cloud_gaming_research_opportunities,chen14_cloud_gaming_onward,Cloud Gaming Onward: Research Opportunities and Outlook
mmsys15,screencast_measurement_design_considerations,hsu15_screencast,Screencast Dissected: Performance Measurements and Design Considerations 
netgames14_gpu,gpu_virtualization_for_cloud_games,hong14_cloud_game_gpu,GPU Consolidation for Cloud Games: Are We There Yet?
tcc14,virtual_machine_allocation_for_cloud_gaming,hong14_vm_cgaming,Placing Virtual Machines to Optimize Cloud Gaming Experience
netgames14_mobile,power_consumption_mobile_cloud_gaming,huang14_mobile_cloud_gaming_perf,Measuring the Client Performance and Energy Consumption in Mobile Cloud Gaming
mm14,screencast_performance_in_the_wild,hsu14_screencast,Screencast in the Wild: Performance and Limitations
